Id,Source,HasRoom,AccoTypeId,Latitude,Longitude,Shortname,IsBookable,Zip,City,Name,Phone,Street,Website,Language,CountryCode
5CEA544EE34639034F07B79D4AEEB603_REDUCED,LTS,False,BedBreakfast,46.477851,11.369939,1100 APARTMENT,False,39100.0,Bolzano,1100 APARTMENT,+39 353 3026699,Colle 1/C,,it,IT
2657B7CBCB85380B253D2FBE28AF100E_REDUCED,LTS,True,BedBreakfast,46.615101,11.143296,1477 Reichhalter,False,39011.0,Lana,1477 Reichhalter,+39 0473 051050,Via Macello 2,http://www.1477reichhalter.com,it,IT
5E4BEFD440200CE4732A7FA30897C402_REDUCED,LTS,False,BedBreakfast,46.902639,11.461289,164 apt.,False,39049.0,Prati di Vizze,164 apt.,,Hintere Gasse 164 B,http://www.164apt.com,it,IT
14AF6F5E67CBEAC34F3223D8DE20D08D_REDUCED,LTS,False,BedBreakfast,46.679733,11.149205,18,False,39012.0,Merano,18,+39 339 1055598,Via Laurin 32,,it,IT
C93CE627A8497E697C657CF53028F9D2_REDUCED,LTS,False,HotelPension,46.660809,11.180298,360 Grad - Bundeswehr Sozialwerk,False,39012.0,Merano,360 Grad - Bundeswehr Sozialwerk,+39 0473 232345,Via Dante 110,http://www.bundeswehr-sozialwerk.de,it,IT
1AFE58256719B7F5050E8360ADC9DD93_REDUCED,LTS,False,BedBreakfast,46.34845,11.29771,5 Apartments,False,39040.0,Ora,5 Apartments,+39 335 1505912,Via del Molino 1,,it,IT
9389F9D35D2353D8B486300C06FE659A_REDUCED,LTS,False,BedBreakfast,46.680075,11.151252,7,False,39012.0,Merano,7,+39 339 1055598,"Via K. Wolf, 85",,it,IT
2DD4167A0732F1941C14A95BBB4F2466_REDUCED,LTS,False,BedBreakfast,46.707003,11.660467,A & A Apartments Resort,False,39042.0,Bressanone,A & A Appartments Resort,+39 333 3682512,via Plose 48/B,http://www.aaapartments.it,it,IT
2FC546282BCB11D4BAA8009027F15066_REDUCED,LTS,False,Farm,46.7814,12.0464,Aberlehof,False,39030.0,Rasun di Sotto,Aberlehof,+39 0474 496165,In der Linde loc. 4,,it,IT
0A140305173D4B7A972E43EFA7A67AF3_REDUCED,LTS,True,HotelPension,46.5684,11.5647,ABINEA Dolomiti Romantic SPA Hotel,False,39040.0,Castelrotto,ABINEA Dolomiti Romantic SPA Hotel,+39 0471 707237,Via Panider 21/1,http://www.abinea.com,it,IT
9BB0774FE7EAADE46D2DC44188E7A94C_REDUCED,LTS,True,HotelPension,46.843206,11.627955,abis Dolomites,False,39037.0,Valles,abis Dolomites,+39 0472 547116,Via Gaisjoch 1,http://www.hotelabis.com,it,IT
BC7F7112A93D4A08B1640C528830B634_REDUCED,LTS,False,Farm,46.8634,11.3077,Abrahamhof,False,39040.0,Racines,Abrahamhof,+39 0472 659102,Racines di Dentro 18,http://www.abrahamhof.it,it,IT
C70CDA0454D438BDB382BCB687E7899E_REDUCED,LTS,False,BedBreakfast,46.674864,11.151209,A casa di Andrea,False,39012.0,Merano,A casa di Andrea,+49 174 9475247,Via Andreas Hofer 23,,it,IT
1DF9C17D6F24E87E4EDAAB3408588A6C_REDUCED,LTS,True,BedBreakfast,46.588288,11.158751,Ackpfeiferhof,False,39011.0,Lana,Ackpfeiferhof,+39 336 356574,Acquaviva 5/A,http://www.ackpfeiferhof.it,it,IT
64FD5627B6FD441099D9F9418C147A97_REDUCED,LTS,True,HotelPension,46.545,11.5586,Activehotel Diana,False,39040.0,Siusi allo Sciliar,Activehotel Diana,+39 0471 704070,Via S. Oswaldo 3,http://www.hotel-diana.it,it,IT
E3012CB1C88711D18916444553540000_REDUCED,LTS,True,HotelPension,46.837699,11.944313,Active Hotel Sonne,False,39030.0,Gais,Active Hotel Sonne,+39 0474 504136,Schloß Neuhaus 1,http://www.active-hotel-sonne.com,it,IT
A5699E63EA3711D1BFF40000B4903BD8_REDUCED,LTS,True,HotelPension,46.618745,10.82532,Activ Resort Bamboo,False,39021.0,Coldrano,Activ Resort Bamboo,+39 0473 742069,Via Schanzen 5,http://www.bamboo-hotel.it,it,IT
3350C715434211D291E000A0244A9324_REDUCED,LTS,False,HotelPension,46.532537,10.964139,Adlerhorst,False,39016.0,S. Valburga,Adlerhorst,+39 0473 868005,"S. Valburga, Adlerhorst 353",http://www.haus-adlerhorst.com,it,IT
C5838E9197C111D1924D00805A150B0B_REDUCED,LTS,True,HotelPension,46.984285,11.948158,Adler Hotel,False,39030.0,San Giovanni/Valle Aurina,Adler Hotel,+39 0474 671135,Ahrn 63,http://www.hoteladler.net,it,IT
B014DDDBF150BB024E514F2D57DE46A1_REDUCED,LTS,False,BedBreakfast,46.647891,11.008284,Adler Living,False,39025.0,Naturno,Gamper Karlheinz,+39 0473 667242,Via Lido 7,,it,IT
5108FCAB5F47EA989B86770AFF9F1014_REDUCED,LTS,True,HotelPension,46.554113,11.658897,ADLER Lodge Alpe,False,39040.0,Alpe di Siusi,ADLER Lodge Alpe,+39 0471 723000,Piz 11,http://www.adler-alpe.com,it,IT
7F8E74F269AC48B84F16D08C31D44F9A_REDUCED,LTS,True,HotelPension,46.534673,11.439412,Adler Lodge Ritten,False,39054.0,Soprabolzano - Renon,Adler Lodge Ritten,+39 0471 1551700,Stella 20,https://www.adler-resorts.com/de/adler-lodge-ritten/73-0.html,it,IT
968590CCAC563EBBA8AAD608A69EBA80_REDUCED,LTS,True,HotelPension,46.5753,11.673,ADLER Spa Resort BALANCE,False,39046.0,Ortisei - Val Gardena,ADLER Spa Resort BALANCE,+39 0471 775002,Stufanstr. 5,http://www.adler-balance.com,it,IT
824D84D029E711D599D20050DA7125DB_REDUCED,LTS,True,HotelPension,46.5744,11.6714,ADLER Spa Resort DOLOMITI,False,39046.0,Ortisei - Val Gardena,ADLER Spa Resort DOLOMITI,+39 0471 775001,Str. Rezia 7,http://www.adler-dolomiti.com,it,IT
F1FF6231A38211D1925F00805A150B0B_REDUCED,LTS,True,HotelPension,46.737839,12.168828,Adler Suite & Stube,False,39039.0,Villabassa,Adler Suite & Stube,+39 0474 745128,Piazza von Kurz 3,http://www.hoteladler.com,it,IT
BBD6F4CAF83931CFB52E06FCB51A89D8_REDUCED,LTS,False,BedBreakfast,46.370637,11.237306,Adolfer Höfl,False,39052.0,Caldaro al Lago,Adolfer Höfl,+39 338 7928781,Castelvecchio 14,https://www.adolfer-hoefl.it,it,IT
C6502D4B639C8416C9C6B47C30D83C29_REDUCED,LTS,True,HotelPension,46.685543,11.188538,Adults Only Prunner Luxury Suites,False,39017.0,Scena,Adults Only Prunner Luxury Suites,+39 0473 861610,Via Scena 22,http://www.prunner-luxury-suites.com,it,IT
9BF0AFC1C2CC6CA4D1D54853459FC38F_REDUCED,LTS,False,BedBreakfast,46.795522,11.939883,Agalma,False,39031.0,Brunico,Agalma,+39 335 8422811,Via Centrale 8,https://www.agalmabrunico.it/it,it,IT
78ACB3FA46DC26CDAF89089A354981AB_REDUCED,LTS,False,BedBreakfast,46.657382,11.925777,Agenzia BelaVal Apartments - Corvara,False,39033.0,La Val,Agenzia BelaVal Apartments - Corvara,+39 0471 1886323,ufficio: Str. San Senese 8,http://www.agenziabelaval.it/booking,it,IT
60E1EE8CE9647B98CF711E8B78F09955_REDUCED,LTS,False,BedBreakfast,46.6575,11.9247,Agenzia BelaVal Apartments - La Val,False,39030.0,La Val,Agenzia BelaVal Apartments - La Val,+39 0471 1886323,Str. San Senese 8,https://agenziabelaval.it/,it,IT
4713BFE64C10808A7DB3928E2B1901FF_REDUCED,LTS,False,Farm,46.239015,11.213344,Agritur Bassetti,False,39040.0,Salorno,Agritur Bassetti,+39 347 0174120,via Loreto 8,,it,IT
D961088971BDBAE069106C51CE2E595D_REDUCED,LTS,True,Farm,46.239206,11.217893,Agriturismo E-Cinque,False,39040.0,Salorno,Agriturismo E-Cinque,+39 338 3612836,Via Molini 6,,it,IT
562CD815C64A27644E9EA87AB42DE5B3_REDUCED,LTS,False,Farm,46.245306,11.228769,Agritur Zuveith,False,39040.0,Salorno,Agritur Zuveith,+39 340 8306272,Via Molini 78/A,,it,IT
67C7C685B8F3CB1111EBA741C9E7E4B3_REDUCED,LTS,True,Farm,46.679194,10.536155,AgroPobitzer,False,39024.0,Malles - Laudes,AgroPobitzer,+39 392 3713142,"Laudes, 6 + 7",http://www.agropobitzer.eu,it,IT
6D97EAE41A3F11D28DDE00104B4932AD_REDUCED,LTS,True,Farm,46.794862,11.708771,Ahner Berghof,False,39037.0,Rodengo,Ahner Berghof,+39 0472 454158,Via Montano 9,http://www.ahner-berghof.com,it,IT
