Id,Source,DateBegin,DateEnd,Latitude,Longitude,Shortname,Title,City,Zip
BFEB2DDB0FD54AC9BC040053A5514A92_REDUCED,lts,2022-06-01T00:00:00,2022-06-01T00:00:00,46.644273,11.225259,1000-Stufen-Schlucht im Vinschgau,"Venosta: La ""valle dei 1000 gradini""",Avelengo,39010
982011E3BE704D22A84F7C2EB40CA8BE_REDUCED,lts,2023-06-02T00:00:00,2023-06-03T00:00:00,46.6296,10.7558,100 Jahre Musikkapelle Kortsch Jubiläumsfest,100 anni banda musicale di corzes,Silandro,39028
429F65276B0144FCB4ADC354A29C1435_REDUCED,lts,2022-05-28T00:00:00,2022-05-28T00:00:00,46.9959,11.9805,100-Jahr Jubiläum der Musikkapelle Steinhaus,100 anni banda musicale di Cadipietra - festa,Valle Aurina,39030
10CF80CE69EC42349E4F0B89191F5944_REDUCED,lts,2022-05-29T00:00:00,2022-05-29T00:00:00,46.99594,11.980515,100-Jahr Jubiläum der Musikkapelle Steinhaus,100 anni banda musicale di Cadipietra - festa,Valle Aurina,39030
9D4618A013144230B8CFF19943335180_REDUCED,lts,2022-09-03T00:00:00,2022-09-03T00:00:00,46.6031,11.5203,10. Barbianer Zwetschkenmeile,10. Miglio delle prugne a Barbiano,Barbiano,39040
AA5913F663A349DB9A5D1C5D845ABB41_REDUCED,lts,2023-01-13T00:00:00,2023-01-13T00:00:00,46.7038,10.5088,10. Dynafit Vinschgau Cup am Watles,10. Dynafit Vinschgau Cup al Watles,Malles,39024
979C639FBE914DA193ADE782EC1993AF_REDUCED,lts,2022-06-04T00:00:00,2022-06-04T00:00:00,46.5735,11.6469,10 Jahre Vespa Club Gröden - 3. Vespatreffen,10 anni Vespa Club Val Gardena - 3° incontro di vespe,Ortisei,39046
48BA6D4F3DF3456E9F05B9A0AD3A4E17_REDUCED,lts,2023-02-04T00:00:00,2023-02-04T00:00:00,46.443911,11.588977,"10. Skitourenrennen ""Carezza Trophy""","10° gara sci d'alpinismo ""Carezza Trophy""",Nova Levante,39056
AA576809E4ED4879B2C7E1108B2799F6_REDUCED,lts,2022-04-24T00:00:00,2022-04-24T00:00:00,46.6696,10.5165,10. Vinschger Gebietsschau aller Schafrassen,,Malles,
98ACF86788904DD19E36408BDA8565CE_REDUCED,lts,2016-10-06T00:00:00,2016-10-12T00:00:00,46.3917,11.4654,11. Eggentaler Herbst Classic,11. Eggentaler Herbst Classic,Nova Ponente,39050
14A326D2E07D44A6927A5DBFC6EF487A_REDUCED,lts,2023-03-23T00:00:00,2023-03-26T00:00:00,46.6882,11.4206,11. Jäger-Ski-WM 2023 - Skigebiet Reinswald,11° Campionato del Mondo dei cacciatori 2023 - Area Sciistica di Reinswald,Sarentino,39058
BFF16EC65D344F66BC1AB47D20347D74_REDUCED,lts,2023-04-22T00:00:00,2023-04-23T00:00:00,46.670513,11.162904,"11. Yoga-Meeting ""Merano in Yoga""","11a edizione di ""Merano in Yoga""",Merano,39012
519ED83348524507A0705F2D78EECA4D_REDUCED,lts,2020-04-13T00:00:00,2020-04-13T00:00:00,46.6593,11.1544,124. Haflinger-Galopprennen mit Festumzug,124a edizione delle Corse tradizionali dei cavalli Haflinger,Merano,39012
09519E10267D4CD2B84A14649B43DEFE_REDUCED,lts,2022-05-28T00:00:00,2022-05-29T00:00:00,46.6393,10.9383,125 Jahre Musikkapelle Tschars Jubiläumsfest,,Castelbello-Ciardes,39020
AED86EEC2DE04B51BCE05EF88655BE06_REDUCED,lts,2023-04-10T00:00:00,2023-04-10T00:00:00,46.6577,11.1504,126. Traditionelles Haflinger Galopprennen mit Umzug,126a edizione Corse tradizionali dei cavalli Haflinger e sfilata,Merano,39012
D368218BBEC44A4899D591EB8C1F4B2E_REDUCED,lts,2023-09-23T00:00:00,2023-09-24T00:00:00,46.737081,12.169352,"12. ""Niederdorfer Kartoffelfest""  - das Original","12a ""Sagra della Patata"" a Villabassa - l'originale",Villabassa,39039
