id,location_id,source,has_room,acco_type_id,shortname,is_bookable,name,website,lang,phone
5CEA544EE34639034F07B79D4AEEB603_REDUCED,93,LTS,FALSE,BedBreakfast,1100 APARTMENT,FALSE,1100 APARTMENT,,it,393533026699
2657B7CBCB85380B253D2FBE28AF100E_REDUCED,94,LTS,TRUE,BedBreakfast,1477 Reichhalter,FALSE,1477 Reichhalter,http://www.1477reichhalter.com,it,390473051050
5E4BEFD440200CE4732A7FA30897C402_REDUCED,95,LTS,FALSE,BedBreakfast,164 apt.,FALSE,164 apt.,http://www.164apt.com,it,
14AF6F5E67CBEAC34F3223D8DE20D08D_REDUCED,96,LTS,FALSE,BedBreakfast,18,FALSE,18,,it,393391055598
C93CE627A8497E697C657CF53028F9D2_REDUCED,97,LTS,FALSE,HotelPension,360 Grad - Bundeswehr Sozialwerk,FALSE,360 Grad - Bundeswehr Sozialwerk,http://www.bundeswehr-sozialwerk.de,it,390473232345
1AFE58256719B7F5050E8360ADC9DD93_REDUCED,98,LTS,FALSE,BedBreakfast,5 Apartments,FALSE,5 Apartments,,it,393351505912
9389F9D35D2353D8B486300C06FE659A_REDUCED,99,LTS,FALSE,BedBreakfast,7,FALSE,7,,it,393391055598
2DD4167A0732F1941C14A95BBB4F2466_REDUCED,100,LTS,FALSE,BedBreakfast,A & A Apartments Resort,FALSE,A & A Appartments Resort,http://www.aaapartments.it,it,393333682512
2FC546282BCB11D4BAA8009027F15066_REDUCED,101,LTS,FALSE,Farm,Aberlehof,FALSE,Aberlehof,,it,390474496165
0A140305173D4B7A972E43EFA7A67AF3_REDUCED,102,LTS,TRUE,HotelPension,ABINEA Dolomiti Romantic SPA Hotel,FALSE,ABINEA Dolomiti Romantic SPA Hotel,http://www.abinea.com,it,390471707237
9BB0774FE7EAADE46D2DC44188E7A94C_REDUCED,103,LTS,TRUE,HotelPension,abis Dolomites,FALSE,abis Dolomites,http://www.hotelabis.com,it,390472547116
BC7F7112A93D4A08B1640C528830B634_REDUCED,104,LTS,FALSE,Farm,Abrahamhof,FALSE,Abrahamhof,http://www.abrahamhof.it,it,390472659102
C70CDA0454D438BDB382BCB687E7899E_REDUCED,105,LTS,FALSE,BedBreakfast,A casa di Andrea,FALSE,A casa di Andrea,,it,491749475247
1DF9C17D6F24E87E4EDAAB3408588A6C_REDUCED,106,LTS,TRUE,BedBreakfast,Ackpfeiferhof,FALSE,Ackpfeiferhof,http://www.ackpfeiferhof.it,it,39336356574
64FD5627B6FD441099D9F9418C147A97_REDUCED,107,LTS,TRUE,HotelPension,Activehotel Diana,FALSE,Activehotel Diana,http://www.hotel-diana.it,it,390471704070
E3012CB1C88711D18916444553540000_REDUCED,108,LTS,TRUE,HotelPension,Active Hotel Sonne,FALSE,Active Hotel Sonne,http://www.active-hotel-sonne.com,it,390474504136
A5699E63EA3711D1BFF40000B4903BD8_REDUCED,109,LTS,TRUE,HotelPension,Activ Resort Bamboo,FALSE,Activ Resort Bamboo,http://www.bamboo-hotel.it,it,390473742069
3350C715434211D291E000A0244A9324_REDUCED,110,LTS,FALSE,HotelPension,Adlerhorst,FALSE,Adlerhorst,http://www.haus-adlerhorst.com,it,390473868005
C5838E9197C111D1924D00805A150B0B_REDUCED,111,LTS,TRUE,HotelPension,Adler Hotel,FALSE,Adler Hotel,http://www.hoteladler.net,it,390474671135
B014DDDBF150BB024E514F2D57DE46A1_REDUCED,112,LTS,FALSE,BedBreakfast,Adler Living,FALSE,Gamper Karlheinz,,it,390473667242
5108FCAB5F47EA989B86770AFF9F1014_REDUCED,113,LTS,TRUE,HotelPension,ADLER Lodge Alpe,FALSE,ADLER Lodge Alpe,http://www.adler-alpe.com,it,390471723000
7F8E74F269AC48B84F16D08C31D44F9A_REDUCED,114,LTS,TRUE,HotelPension,Adler Lodge Ritten,FALSE,Adler Lodge Ritten,https://www.adler-resorts.com/de/adler-lodge-ritten/73-0.html,it,3904711551700
968590CCAC563EBBA8AAD608A69EBA80_REDUCED,115,LTS,TRUE,HotelPension,ADLER Spa Resort BALANCE,FALSE,ADLER Spa Resort BALANCE,http://www.adler-balance.com,it,390471775002
824D84D029E711D599D20050DA7125DB_REDUCED,116,LTS,TRUE,HotelPension,ADLER Spa Resort DOLOMITI,FALSE,ADLER Spa Resort DOLOMITI,http://www.adler-dolomiti.com,it,390471775001
F1FF6231A38211D1925F00805A150B0B_REDUCED,117,LTS,TRUE,HotelPension,Adler Suite & Stube,FALSE,Adler Suite & Stube,http://www.hoteladler.com,it,390474745128
BBD6F4CAF83931CFB52E06FCB51A89D8_REDUCED,118,LTS,FALSE,BedBreakfast,Adolfer Höfl,FALSE,Adolfer Höfl,https://www.adolfer-hoefl.it,it,393387928781
C6502D4B639C8416C9C6B47C30D83C29_REDUCED,119,LTS,TRUE,HotelPension,Adults Only Prunner Luxury Suites,FALSE,Adults Only Prunner Luxury Suites,http://www.prunner-luxury-suites.com,it,390473861610
9BF0AFC1C2CC6CA4D1D54853459FC38F_REDUCED,120,LTS,FALSE,BedBreakfast,Agalma,FALSE,Agalma,https://www.agalmabrunico.it/it,it,393358422811
78ACB3FA46DC26CDAF89089A354981AB_REDUCED,121,LTS,FALSE,BedBreakfast,Agenzia BelaVal Apartments - Corvara,FALSE,Agenzia BelaVal Apartments - Corvara,http://www.agenziabelaval.it/booking,it,3904711886323
60E1EE8CE9647B98CF711E8B78F09955_REDUCED,1104,LTS,FALSE,BedBreakfast,Agenzia BelaVal Apartments - La Val,FALSE,Agenzia BelaVal Apartments - La Val,https://agenziabelaval.it/,it,3904711886323
4713BFE64C10808A7DB3928E2B1901FF_REDUCED,123,LTS,FALSE,Farm,Agritur Bassetti,FALSE,Agritur Bassetti,,it,393470174120
D961088971BDBAE069106C51CE2E595D_REDUCED,124,LTS,TRUE,Farm,Agriturismo E-Cinque,FALSE,Agriturismo E-Cinque,,it,393383612836
562CD815C64A27644E9EA87AB42DE5B3_REDUCED,125,LTS,FALSE,Farm,Agritur Zuveith,FALSE,Agritur Zuveith,,it,393408306272
67C7C685B8F3CB1111EBA741C9E7E4B3_REDUCED,126,LTS,TRUE,Farm,AgroPobitzer,FALSE,AgroPobitzer,http://www.agropobitzer.eu,it,393923713142
6D97EAE41A3F11D28DDE00104B4932AD_REDUCED,127,LTS,TRUE,Farm,Ahner Berghof,FALSE,Ahner Berghof,http://www.ahner-berghof.com,it,390472454158
AE9E490E7D29428943F44F1C08E05EFB_REDUCED,128,LTS,FALSE,BedBreakfast,AhriaNova Apartments,FALSE,AhriaNova Apartments,https://www.ahria-apartments.it/ahria-nova/,it,390474646400
86ECBEBE77230F8767329DC136943453_REDUCED,129,LTS,FALSE,HotelPension,AhriaPura Apartments,FALSE,AhriaPura Apartments,https://www.ahria-apartments.it/ahria-pura/,it,390474646400
C5838EAA97C111D1924D00805A150B0B_REDUCED,130,LTS,TRUE,HotelPension,Ahrner Wirt Apartments,FALSE,Ahrner Wirt Apartments,http://www.ahrnerwirt.com,it,390474671134
F53CA9DBD14DA976EAE8C4F7EDAE26D3_REDUCED,131,LTS,FALSE,BedBreakfast,Ahrn Nature Apartment,FALSE,Ahrn Nature Apartment,http://www.ahrn.it,it,393385070191
C5838DCD97C111D1924D00805A150B0B_REDUCED,132,LTS,FALSE,BedBreakfast,Ahrntal Appartements,FALSE,Ahrntal Appartamenti,http://www.appartement-ahrntal.com,it,393491740439
8582DBFD6BA04C7D91CDC7895DDD53FC_REDUCED,133,LTS,FALSE,Farm,Aichbühlerhof,FALSE,Maso Aichbühler,http://www.aichbuehlerhof.com,it,390471725397
