id,day,month,year
0,01,06,2022
1,02,06,2023
2,28,05,2022
3,29,05,2022
4,03,09,2022
5,13,01,2023
6,04,06,2022
7,04,02,2023
8,24,04,2022
9,06,10,2016
10,23,03,2023
11,22,04,2023
12,13,04,2020
13,10,04,2023
14,23,09,2023
15,15,09,2023
16,07,07,2019
17,20,06,2023
18,07,02,2020
19,16,12,2023
20,21,01,2023
21,14,12,2019
22,28,04,2018
23,03,02,2023
24,14,07,2023
25,01,01,0001
26,12,05,2022
27,22,05,2022
28,27,04,2022
29,15,05,2022
30,27,05,2022
31,10,10,2021
32,23,06,2023
33,01,05,2016
34,06,03,2022
35,09,03,2023
36,01,05,2022
37,26,03,2023
38,09,01,2023
39,26,10,2016
40,07,10,2023
41,30,09,2023
42,28,01,2023
43,24,06,2020
44,04,06,2023
45,15,07,2023
46,25,03,2023
47,09,10,2016
48,11,03,2023
49,30,06,2023
50,24,02,2022
51,15,06,2023
52,14,06,2023
53,18,12,2022
54,07,07,2023
55,01,04,2023
56,13,05,2022
57,31,03,2023
58,10,07,2021
59,09,09,2023
60,07,05,2023
61,27,02,2022
62,19,08,2023
63,03,07,2016
64,16,01,2023
65,03,11,2023
66,07,05,2022
67,01,04,2022
68,14,12,2016
69,06,05,2023
70,10,06,2023
71,05,06,2023
72,02,07,2023
73,25,04,2022
74,12,12,2022
75,30,12,2022
76,25,08,2023
77,20,03,2022
78,18,03,2023
79,18,07,2020
80,03,04,2022
81,14,08,2016
82,03,02,2018
83,30,04,2022
84,12,02,2023
85,14,08,2023
86,03,06,2023
87,12,10,2016
88,23,04,2023
89,24,09,2023
90,22,06,2023
91,17,12,2023
92,16,07,2023
93,31,12,9999
94,25,06,2023
95,12,03,2022
96,29,04,2023
97,15,01,2023
98,11,02,2023
99,06,11,2016
100,28,06,2020
101,01,07,2023
102,24,06,2023
103,16,08,2023
104,18,06,2023
105,18,01,2023
106,07,11,2023
107,10,04,2022
108,09,07,2023
109,01,05,2023
110,14,10,2023
111,29,08,2023
112,25,03,2022
113,31,07,2020
114,04,02,2018
