id,zip,city,latitude,longitude,street,country_code
0,39010.0,Avelengo,46.644273,11.225259,,
1,39028.0,Silandro,46.6296,10.7558,,
2,39030.0,Valle Aurina,46.9959,11.9805,,
3,39030.0,Valle Aurina,46.99594,11.980515,,
4,39040.0,Barbiano,46.6031,11.5203,,
5,39024.0,Malles,46.7038,10.5088,,
6,39046.0,Ortisei,46.5735,11.6469,,
7,39056.0,Nova Levante,46.443911,11.588977,,
8,,Malles,46.6696,10.5165,,
9,39050.0,Nova Ponente,46.3917,11.4654,,
10,39058.0,Sarentino,46.6882,11.4206,,
11,39012.0,Merano,46.670513,11.162904,,
12,39012.0,Merano,46.6593,11.1544,,
13,39020.0,Castelbello-Ciardes,46.6393,10.9383,,
14,39012.0,Merano,46.6577,11.1504,,
15,39039.0,Villabassa,46.737081,12.169352,,
16,,Villabassa,46.7369,12.1661,,
17,39040.0,Racines,46.8671,11.285,,
18,39012.0,Merano,46.6695,11.1614,,
19,39040.0,Castelrotto,46.5407,11.6201,,
20,39028.0,Silandro,46.6287,10.7752,,
21,39038.0,San Candido,46.7181,12.279,,
22,39030.0,Sesto,46.6974,12.3567,,
23,39020.0,Senales,46.7571,10.7817,,
24,,Castelrotto,46.5403,11.6198,,
25,39038.0,San Candido,46.7326,12.282,,
26,,Laives,46.4255,11.3401,,
27,39012.0,Merano,46.6716,11.16492,,
28,39012.0,Merano,46.668849,11.16407,,
29,39012.0,Merano,46.6699,11.1565,,
30,39012.0,Merano,46.6716,11.1649,,
31,39042.0,Bressanone,46.7167,11.6532,,
32,39040.0,Barbiano,46.6021,11.52,,
33,39012.0,Merano,46.669,11.161,,
34,39040.0,Naz-Sciaves,46.7755,11.6816,,
35,39048.0,Selva,46.5554,11.7553,,
36,39025.0,Naturno,46.650503,11.004883,,
37,,Meltina,46.5614,11.2614,,
38,39030.0,Valle di Casies,46.7684,12.1787,,
39,39040.0,Termeno sulla Strada del Vino,46.3403,11.2398,,
40,39015.0,S.Leonardo in Passiria,46.812458,11.24546,,
41,39021.0,Laces,46.617592,10.859285,,
42,39020.0,Castelbello-Ciardes,46.6284,10.901,,
43,39030.0,Sesto,46.7102,12.3499,,
44,39054.0,Renon,46.5384,11.4543,,
45,,Velturno,46.6687,11.5964,,
46,39012.0,Merano,46.6706,11.1627,,
47,39049.0,Racines,46.922029,11.27605,,
48,39034.0,Sesto,46.7245,12.2243,,
49,39034.0,Dobbiaco,46.7243,12.2244,,
50,39027.0,Curon Venosta,46.8095,10.5381,,
51,39010.0,Nalles,46.5437,11.2036,,
52,39040.0,Naz-Sciaves,46.7579,11.6821,,
53,39030.0,Sesto,46.6973,12.3564,,
54,,Curon Venosta,46.767246,10.535261,,
55,39056.0,Nova Levante,46.428571,11.536497,,
56,39100.0,Bolzano,46.4977,11.3517,,
57,39034.0,Dobbiaco,46.7245,12.2243,,
58,39012.0,Merano,46.6704,11.1629,,
59,39017.0,Scena,46.6898,11.1878,,
60,39058.0,Sarentino,46.6731,11.3762,,
61,,Selva,46.5745,11.7417,,
62,39010.0,S.Martino in Passiria,46.7837,11.2308,,
63,39035.0,Monguelfo-Tesido,46.757198,12.104666,,
64,39048.0,Selva,46.5557,11.7566,,
65,39039.0,Villabassa,46.7382,12.1689,,
66,39030.0,Sesto,46.6971,12.3564,,
67,39012.0,Merano,46.6702,11.162,,
68,39040.0,Villandro,46.641398,11.490362,,
69,39030.0,Valle Aurina,46.949726,11.887271,,
70,39023.0,Lasa,46.6084,10.6827,,
71,,Silandro,46.6302,10.7591,,
